Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 19:36:08,INFO,4.213804797039982, 1, 6.0, 2.0, 0.0007181167602539062, 0.48674726486206055 , 433.13, 433.31, 637.80 ,522.43
2022/05/15 19:36:26,INFO,4.213804797039982, 1, 6.0, 2.0, 0.0006647109985351562, 0.46530747413635254 , 432.82, 433.05, 635.88 ,521.52
2022/05/15 19:36:47,INFO,4.213804797039982, 1, 6.0, 2.0, 0.0006978511810302734, 0.47848939895629883 , 432.34, 432.52, 636.30 ,521.16
2022/05/15 19:37:15,INFO,4.213804797039982, 1, 6.0, 2.0, 0.0006816387176513672, 0.4772372245788574 , 431.87, 432.05, 635.07 ,520.42
2022/05/15 19:37:42,INFO,4.213804797039982, 1, 6.0, 2.0, 0.0006911754608154297, 0.4702732563018799 , 432.11, 432.30, 634.71 ,520.11
2022/05/15 19:38:25,INFO,4.213804797039982, -1, 90.0, 90.0, 0.0007369518280029297, 0.4942030906677246 , 432.62, 432.86, 637.27 ,522.06
2022/05/15 19:38:55,INFO,4.213804797039982, -1, 90.0, 90.0, 0.0007243156433105469, 0.46836185455322266 , 433.00, 433.23, 635.89 ,520.60
2022/05/15 19:39:12,INFO,4.213804797039982, -1, 90.0, 90.0, 0.000682830810546875, 0.4743340015411377 , 431.39, 431.66, 633.64 ,519.02
2022/05/15 19:39:29,INFO,4.213804797039982, -1, 90.0, 90.0, 0.0007295608520507812, 0.46622347831726074 , 432.21, 432.41, 636.18 ,521.02
2022/05/15 19:39:45,INFO,4.213804797039982, -1, 90.0, 90.0, 0.0008337497711181641, 0.4691343307495117 , 432.68, 432.94, 636.26 ,522.14
