Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 19:57:11,INFO,4.6458126217317, 1, 5.5, 1.5, 0.0007064342498779297, 0.9411683082580566 , 432.62, 432.85, 823.85 ,595.89
2022/05/15 19:57:33,INFO,4.6458126217317, 1, 5.5, 1.5, 0.0007164478302001953, 0.9303975105285645 , 431.34, 431.55, 824.78 ,597.42
2022/05/15 19:57:59,INFO,4.6458126217317, 1, 5.5, 1.5, 0.0006875991821289062, 0.9367432594299316 , 432.46, 432.74, 822.83 ,595.26
2022/05/15 19:58:40,INFO,4.6458126217317, 1, 5.5, 1.5, 0.0007894039154052734, 0.9243998527526855 , 431.48, 431.70, 825.71 ,597.57
2022/05/15 19:59:09,INFO,4.6458126217317, 1, 5.5, 1.5, 0.0007593631744384766, 0.9409749507904053 , 432.30, 432.54, 822.89 ,594.98
2022/05/15 19:59:40,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0007026195526123047, 0.9160041809082031 , 431.30, 431.52, 822.05 ,594.33
2022/05/15 20:00:17,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0006871223449707031, 0.9261181354522705 , 432.80, 433.04, 824.24 ,596.11
2022/05/15 20:00:57,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0007562637329101562, 0.9333891868591309 , 432.56, 432.76, 823.39 ,595.49
2022/05/15 20:01:18,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0006890296936035156, 0.9365837574005127 , 432.86, 433.11, 824.20 ,595.96
2022/05/15 20:01:52,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0006692409515380859, 0.9252879619598389 , 432.70, 432.98, 823.88 ,595.98
2022/05/15 20:02:32,INFO,4.6458126217317, -1, 96.0, 96.0, 0.0006921291351318359, 0.9451611042022705 , 432.68, 432.92, 826.49 ,599.38
