Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 18:51:17,INFO,3.6345529061616393, 1, 1.7500000000000002, 0.25, 0.0007002353668212891, 1.85728120803833 , 432.09, 432.27, 1205.74 ,753.55
2022/05/15 18:51:47,INFO,3.6345529061616393, 1, 1.7500000000000002, 0.25, 0.0007233619689941406, 1.8130297660827637 , 433.00, 433.23, 1198.59 ,746.65
2022/05/15 18:52:22,INFO,3.6345529061616393, 1, 1.7500000000000002, 0.25, 0.0007505416870117188, 1.9100594520568848 , 431.73, 432.00, 1204.66 ,753.14
2022/05/15 18:53:10,INFO,3.6345529061616393, 1, 1.7500000000000002, 0.25, 0.0007476806640625, 1.8679442405700684 , 432.79, 432.97, 1205.77 ,754.32
2022/05/15 18:53:49,INFO,3.6345529061616393, 1, 1.7500000000000002, 0.25, 0.0007221698760986328, 1.8836605548858643 , 431.87, 432.14, 1198.31 ,746.77
2022/05/15 18:54:45,INFO,3.6345529061616393, -1, 93.5, 93.5, 0.0006992816925048828, 1.8670861721038818 , 432.45, 432.73, 1205.17 ,753.80
2022/05/15 18:55:17,INFO,3.6345529061616393, -1, 93.5, 93.5, 0.0007770061492919922, 1.8473842144012451 , 431.71, 431.98, 1197.57 ,745.34
2022/05/15 18:55:55,INFO,3.6345529061616393, -1, 93.5, 93.5, 0.0007202625274658203, 1.856015682220459 , 432.82, 433.07, 1198.30 ,746.79
2022/05/15 18:56:28,INFO,3.6345529061616393, -1, 93.5, 93.5, 0.0008494853973388672, 1.8228833675384521 , 432.23, 432.41, 1197.02 ,745.80
2022/05/15 18:57:12,INFO,3.6345529061616393, -1, 93.5, 93.5, 0.000743865966796875, 1.8376941680908203 , 432.58, 432.87, 1201.48 ,749.60
