Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 19:46:16,INFO,4.480938080597523, 1, 6.5, 1.0, 0.0007395744323730469, 0.9470205307006836 , 432.20, 432.43, 823.87 ,595.52
2022/05/15 19:47:05,INFO,4.480938080597523, 1, 6.5, 1.0, 0.000705718994140625, 0.9281871318817139 , 431.32, 431.62, 822.52 ,594.67
2022/05/15 19:47:33,INFO,4.480938080597523, 1, 6.5, 1.0, 0.0007023811340332031, 0.9357848167419434 , 432.71, 432.98, 826.90 ,599.36
2022/05/15 19:47:49,INFO,4.480938080597523, 1, 6.5, 1.0, 0.0007159709930419922, 0.9492673873901367 , 432.39, 432.68, 823.87 ,595.97
2022/05/15 19:48:13,INFO,4.480938080597523, 1, 6.5, 1.0, 0.0006697177886962891, 0.9185082912445068 , 432.88, 433.12, 824.05 ,596.16
2022/05/15 19:48:40,INFO,4.480938080597523, -1, 96.5, 96.5, 0.0006785392761230469, 0.9527614116668701 , 432.79, 433.02, 824.43 ,596.32
2022/05/15 19:49:12,INFO,4.480938080597523, -1, 96.5, 96.5, 0.0007278919219970703, 0.9432365894317627 , 432.75, 432.98, 824.13 ,595.84
2022/05/15 19:49:41,INFO,4.480938080597523, -1, 96.5, 96.5, 0.0007424354553222656, 0.9547550678253174 , 433.04, 433.27, 823.59 ,596.10
2022/05/15 19:50:00,INFO,4.480938080597523, -1, 96.5, 96.5, 0.0007081031799316406, 0.96614670753479 , 431.49, 431.77, 822.98 ,595.04
2022/05/15 19:50:21,INFO,4.480938080597523, -1, 96.5, 96.5, 0.0007045269012451172, 1.0071024894714355 , 432.62, 432.85, 823.26 ,595.65
